category	subcategory	ID	Description	GeneRatio	BgRatio	RichFactor	FoldEnrichment	zScore	pvalue	p.adjust	qvalue	geneID	Count
Human Diseases	Infectious disease: bacterial	hsa05132	Salmonella infection	5/66	251/8541	0.0199203187250996	2.57787033683448	2.2390405394905	0.04410257958175	0.195772426436061	0.158520183349037	NFKB1/GSDMD/NLRP3/TLR9/NOD1	5
Human Diseases	Cancer: specific types	hsa05217	Basal cell carcinoma	4/66	63/8541	0.0634920634920635	8.21645021645022	5.07315624656569	0.00137598084703715	0.0450968724903694	0.0365156862270198	GADD45B/GSK3B/WNT3A/SHH	4
Organismal Systems	Endocrine system	hsa04920	Adipocytokine signaling pathway	4/66	70/8541	0.0571428571428571	7.39480519480519	4.74067352524297	0.00203418537424765	0.0528888197304388	0.0428249552473189	PCK2/CD36/NFKB1/STAT3	4
Environmental Information Processing	Signaling molecules and interaction	hsa04061	Viral protein interaction with cytokine and cytokine receptor	4/66	100/8541	0.04	5.17636363636364	3.7070838146471	0.00732104787305997	0.105398778743376	0.0853431406828959	CXCL9/CCR8/CXCL10/CXCL11	4
Organismal Systems	Immune system	hsa04640	Hematopoietic cell lineage	4/66	100/8541	0.04	5.17636363636364	3.7070838146471	0.00732104787305997	0.105398778743376	0.0853431406828959	FCGR1A/CD36/CD8A/FCER2	4
Human Diseases	Infectious disease: bacterial	hsa05135	Yersinia infection	4/66	138/8541	0.0289855072463768	3.75098814229249	2.87502833686493	0.0217336261496902	0.147989419379566	0.119829489376167	CD8A/NFKB1/GSK3B/NLRP3	4
Human Diseases	Infectious disease: viral	hsa05162	Measles	4/66	139/8541	0.0287769784172662	3.72400261608895	2.85729204147775	0.0222506144294356	0.147989419379566	0.119829489376167	NFKB1/STAT3/GSK3B/TLR9	4
Organismal Systems	Development and regeneration	hsa04380	Osteoclast differentiation	4/66	143/8541	0.027972027972028	3.6198347107438	2.78795028530216	0.0243938603372911	0.147989419379566	0.119829489376167	TREM2/FCGR1A/FCGR3A/NFKB1	4
Human Diseases	Cancer: specific types	hsa05226	Gastric cancer	4/66	150/8541	0.0266666666666667	3.45090909090909	2.6723726683554	0.0284378324047794	0.161740171802183	0.130963701864116	GADD45B/GSK3B/WNT3A/SHH	4
Human Diseases	Infectious disease: viral	hsa05160	Hepatitis C	4/66	159/8541	0.0251572327044025	3.25557461406518	2.53345375765081	0.0341943047239921	0.165642756049363	0.134123689108796	CXCL10/NFKB1/STAT3/GSK3B	4
Human Diseases	Infectious disease: parasitic	hsa05144	Malaria	3/66	50/8541	0.06	7.76454545454546	4.23326300050882	0.00666797968650242	0.105398778743376	0.0853431406828959	CD36/THBS2/TLR9	3
Environmental Information Processing	Signal transduction	hsa04340	Hedgehog signaling pathway	3/66	56/8541	0.0535714285714286	6.93262987012987	3.93048726893011	0.00912600704532681	0.118638091589249	0.0960632320560717	DHH/GSK3B/SHH	3
Human Diseases	Immune disease	hsa05321	Inflammatory bowel disease	3/66	66/8541	0.0454545454545455	5.88223140495868	3.51359357274021	0.0142653564984582	0.147989419379566	0.119829489376167	NFKB1/STAT3/NOD2	3
Human Diseases	Cancer: specific types	hsa05221	Acute myeloid leukemia	3/66	68/8541	0.0441176470588235	5.70922459893048	3.44045836644136	0.0154541080444271	0.147989419379566	0.119829489376167	FCGR1A/NFKB1/STAT3	3
Organismal Systems	Endocrine system	hsa04917	Prolactin signaling pathway	3/66	71/8541	0.0422535211267606	5.46798975672215	3.33603568571254	0.0173393944647768	0.147989419379566	0.119829489376167	NFKB1/STAT3/GSK3B	3
Organismal Systems	Endocrine system	hsa03320	PPAR signaling pathway	3/66	76/8541	0.0394736842105263	5.10825358851675	3.17454587846141	0.0207557010050652	0.147989419379566	0.119829489376167	OLR1/PCK2/CD36	3
Human Diseases	Cancer: specific types	hsa05212	Pancreatic cancer	3/66	77/8541	0.038961038961039	5.04191263282172	3.14394910376828	0.0214802445174961	0.147989419379566	0.119829489376167	GADD45B/NFKB1/STAT3	3
Human Diseases	Infectious disease: bacterial	hsa05133	Pertussis	3/66	78/8541	0.0384615384615385	4.97727272727273	3.11387771058713	0.0222185723903548	0.147989419379566	0.119829489376167	NFKB1/NLRP3/NOD1	3
Human Diseases	Infectious disease: parasitic	hsa05140	Leishmaniasis	3/66	79/8541	0.0379746835443038	4.91426927502877	3.08431540969101	0.0229706890689885	0.147989419379566	0.119829489376167	FCGR1A/FCGR3A/NFKB1	3
Human Diseases	Drug resistance: antineoplastic	hsa01521	EGFR tyrosine kinase inhibitor resistance	3/66	80/8541	0.0375	4.85284090909091	3.05524661927779	0.0237365962579243	0.147989419379566	0.119829489376167	NRG2/STAT3/GSK3B	3
Environmental Information Processing	Signaling molecules and interaction	hsa04512	ECM-receptor interaction	3/66	89/8541	0.0337078651685393	4.36210418794688	2.81356839213346	0.0312493265103293	0.165642756049363	0.134123689108796	CD36/TNXB/THBS2	3
Human Diseases	Cancer: overview	hsa05235	PD-L1 expression and PD-1 checkpoint pathway in cancer	3/66	90/8541	0.0333333333333333	4.31363636363636	2.78870837560879	0.0321526671369984	0.165642756049363	0.134123689108796	NFKB1/STAT3/TLR9	3
Organismal Systems	Immune system	hsa04662	B cell receptor signaling pathway	3/66	91/8541	0.032967032967033	4.26623376623377	2.76420759288452	0.0330696510144916	0.165642756049363	0.134123689108796	CD79A/NFKB1/GSK3B	3
Organismal Systems	Immune system	hsa04657	IL-17 signaling pathway	3/66	95/8541	0.0315789473684211	4.0866028708134	2.66961153123364	0.0368734440774783	0.172076072361566	0.139332852114628	CXCL10/NFKB1/GSK3B	3
Human Diseases	Endocrine and metabolic disease	hsa04933	AGE-RAGE signaling pathway in diabetic complications	3/66	101/8541	0.0297029702970297	3.84383438343834	2.53702539261139	0.0429828845629251	0.195572124761309	0.158357995758145	COL3A1/NFKB1/STAT3	3
Organismal Systems	Digestive system	hsa04974	Protein digestion and absorption	3/66	105/8541	0.0285714285714286	3.6974025974026	2.45416176147567	0.0473211177653683	0.205058176983262	0.166039009703047	COL21A1/COL3A1/COL19A1	3
Human Diseases	Drug resistance: antineoplastic	hsa01523	Antifolate resistance	2/66	30/8541	0.0666666666666667	8.62727272727273	3.69292644421277	0.0222596447223369	0.147989419379566	0.119829489376167	ALOX12/NFKB1	2
Human Diseases	Immune disease	hsa05340	Primary immunodeficiency	2/66	38/8541	0.0526315789473684	6.81100478468899	3.16802056030983	0.0345847512630538	0.165642756049363	0.134123689108796	CD79A/CD8A	2
