"","ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"Ubiquitin mediated proteolysis","Ubiquitin mediated proteolysis","Ubiquitin mediated proteolysis",129,0.533266202042519,1.43660209884276,6.80913217287178e-06,6.80913217287178e-06,6.32043847625419e-05,7616,"tags=71%, list=36%, signal=46%","UBE2H/NEDD4/SMURF2/UBE2D1/TRIM32/PML/FBXW11/UBE2Q2/UBE2B/KLHL9/CDC27/ERCC8/CBL/TRIP12/UBE2Z/BIRC2/UBE2E2/UBE2D3/CUL5/UBA3/BTRC/CUL1/UBE2K/UBE2W/HERC4/FBXW8/CUL4B/SKP1/UBE3C/HERC1/ANAPC4/UBE2F/CBLB/KEAP1/CDC23/UBE2L6/UBE2G1/UBE3B/TRAF6/UBA6/PIAS1/UBR5/TRIM37/UBE2D2/ITCH/PIAS3/UBE2J1/UBE2G2/CUL2/HERC2/SOCS3/UBE3A/HUWE1/FBXO4/DDB1/CUL3/MID1/UBE2R2/UBE2E3/BIRC6/ANAPC13/ANAPC10/RCHY1/UBE2L3/FANCL/RBX1/UBE2N/UBE2I/FBXW7/SAE1/MGRN1/UBE2A/XIAP/UBE4A/FZR1/UBE2Q1/DDB2/UBE4B/ANAPC5/PPIL2/ANAPC1/RHOBTB2/UBE2E1/MAP3K1/CDC16/CUL4A/SIAH1/UBE2D4/UBA2/SYVN1/MDM2"
"Renal cell carcinoma","Renal cell carcinoma","Renal cell carcinoma",68,0.601447003555594,1.57282220616337,7.71119794972201e-06,7.71119794972201e-06,6.56128246599153e-05,5316,"tags=62%, list=25%, signal=47%","VEGFC/TGFB1/PDGFB/TGFB3/HIF1A/ETS1/EPAS1/HGF/AKT3/PGF/PIK3R5/ARNT/RAPGEF1/PIK3CA/PAK2/MAPK1/SOS1/VEGFB/RAP1B/CRK/PTPN11/GRB2/FLCN/PIK3R1/MAP2K1/CREBBP/BRAF/NRAS/TGFA/SOS2/EP300/TGFB2/GAB1/CUL2/CRKL/CDC42/PIK3CD/RAF1/PIK3R3/AKT2/EGLN3/RBX1"
"Lysosome","Lysosome","Lysosome",121,0.535621271900902,1.43767913774199,1.10456934462163e-05,1.10456934462163e-05,8.00103311502799e-05,5994,"tags=57%, list=28%, signal=41%","CTSK/ARSB/CTSL/SLC11A1/GNPTAB/SCARB2/CTSO/HEXB/PLA2G15/PPT1/LGMN/TPP1/LAPTM4A/SMPD1/AP3S1/LAPTM5/AP1M1/NPC2/NAGA/GALNS/PSAP/AP4E1/MANBA/HGSNAT/LAMP2/MAN2B1/GM2A/ASAH1/CTNS/MCOLN1/CTSB/GAA/LIPA/CTSC/IDS/CD63/HEXA/CTSD/AP3B1/DNASE2/ACP2/GNS/M6PR/CLTC/IGF2R/ACP5/CTSS/AP3M1/AP3M2/ENTPD4/ARSG/GNPTG/GGA2/CLTCL1/LAMP1/GLA/ATP6V1H/ATP6AP1/GBA/NPC1/CLN5/AP1G1/TCIRG1/IDUA/CTSW/CTSG/ATP6V0A2/CTSZ/SGSH"
"MAPK signaling pathway","MAPK signaling pathway","MAPK signaling pathway",266,0.476565707456037,1.3185212565327,1.17403822590188e-05,1.17403822590188e-05,8.00103311502799e-05,5142,"tags=38%, list=24%, signal=29%","PDGFRB/IL1R1/RASGRF2/TGFB1/PDGFB/CD14/TGFB3/PDGFRA/GNA12/MRAS/MAP3K12/FGF7/RASGRP4/FGF1/MAP3K3/MAPK9/MAP3K2/GADD45A/CACNB3/RASGRP3/AKT3/NFATC4/PPP3CA/TGFBR1/TAOK1/ELK4/DUSP14/RASA1/MKNK1/RPS6KA2/MAP4K4/ELK1/PPP3CC/MAP3K7/NF1/MAPK11/NFKB1/PAK2/STK3/MAPKAPK2/FAS/MAPK1/TNFRSF1A/SOS1/ATF2/TAB2/RAP1B/RAPGEF2/IKBKG/GNG12/CRK/DUSP10/RELB/DUSP7/MAP2K5/GRB2/MAPK14/MEF2C/MAP2K1/HSPA8/TGFBR2/BRAF/MAX/MAPK8/RRAS2/MAPK7/NRAS/NGF/MAP3K5/RELA/PPP3CB/FGFR1/PPP3R1/PPM1A/PDGFA/FGF5/TRAF6/SOS2/PRKACA/RPS6KA3/RPS6KA4/NTRK1/MAP3K4/ARRB2/TGFB2/MAP3K6/RASA2/MAP2K4/CRKL/CDC42/CHUK/STK4/DUSP1/NFKB2/RAF1/DUSP6/LAMTOR3/AKT2/PTPN5/MAP3K8/DUSP3"
"Glycosaminoglycan biosynthesis - chondroitin sulfate","Glycosaminoglycan biosynthesis - chondroitin sulfate","Glycosaminoglycan biosynthesis - chondroitin sulfate",22,0.753094222217929,1.79750165943594,1.17540950401184e-05,1.17540950401184e-05,8.00103311502799e-05,2381,"tags=59%, list=11%, signal=53%","CHSY3/CSGALNACT2/DSE/CHSY1/CHST14/CHPF/XYLT1/CHST7/CHST3/CSGALNACT1/CHPF2/CHST12/CHST11"
"NOD-like receptor signaling pathway","NOD-like receptor signaling pathway","NOD-like receptor signaling pathway",62,0.605178224460967,1.57323267944587,1.46608175131601e-05,1.46608175131601e-05,9.3559164393193e-05,4111,"tags=55%, list=19%, signal=44%","NLRP3/NLRC4/CCL13/MAPK9/NOD1/TNFAIP3/CCL8/MEFV/IL6/NAIP/CARD8/MAP3K7/MAPK11/NFKB1/CCL11/MAPK1/BIRC2/CXCL8/NFKBIA/TAB2/IKBKG/CCL2/CCL7/TAB3/MAPK14/RIPK2/MAPK8/NLRP1/RELA/ERBIN/PSTPIP1/TRAF6/CXCL1/IL18"
"Small cell lung cancer","Small cell lung cancer","Small cell lung cancer",84,0.563681430716214,1.48903791451104,1.85702631009712e-05,1.85702631009712e-05,0.000111536564755059,6190,"tags=60%, list=29%, signal=42%","FN1/ITGAV/LAMB1/ITGB1/COL4A1/LAMA4/LAMA2/COL4A2/LAMC2/AKT3/PIK3R5/LAMB2/LAMC1/PIK3CA/PTEN/NFKB1/LAMC3/BIRC2/NFKBIA/TRAF3/IKBKG/RARB/PIK3R1/MAX/COL4A4/RELA/TRAF6/CDK2/RB1/PIAS1/LAMB3/ITGA3/PTGS2/ITGA2/PIAS3/ITGA6/TRAF1/CHUK/PIK3CD/LAMA3/PIK3R3/AKT2/PTK2/APAF1/BCL2/IKBKB/TP53/TRAF2/AKT1/XIAP"
"Gap junction","Gap junction","Gap junction",87,0.567522325915467,1.50177838043703,2.13627346883416e-05,2.13627346883416e-05,0.000121180424840301,4766,"tags=44%, list=22%, signal=34%","PDGFRB/PDGFC/PDGFB/PDGFRA/HTR2A/GNAI2/LPAR1/GUCY1A2/MAP3K2/ADCY3/GJA1/ADCY7/ADCY4/PRKG1/MAPK1/SOS1/PDGFD/MAP2K5/GRB2/ADCY9/TUBA4A/TJP1/MAP2K1/GNAI3/MAPK7/NRAS/TUBA1A/GNAQ/PLCB2/PDGFA/TUBB/SOS2/PRKACA/TUBB6/TUBA1B/GNAI1/ITPR1/RAF1"
"Jak-STAT signaling pathway","Jak-STAT signaling pathway","Jak-STAT signaling pathway",155,0.512891904434023,1.3944416166783,2.30382203017518e-05,2.30382203017518e-05,0.000123806502452628,4996,"tags=41%, list=23%, signal=32%","STAT2/SOCS5/SPRED1/IFNK/IL6ST/OSMR/IL11/IL24/AKT3/CSF3R/IL6/IL7R/IFNAR1/CSF2RA/PIK3R5/STAT3/IL2RA/IL4R/IL3RA/JAK1/PIK3CA/SPRY1/IL15/CBL/STAM2/STAT5A/LIF/SOS1/LEPR/PTPN11/STAT5B/GRB2/PIK3R1/CREBBP/STAT1/OSM/SOCS4/CBLB/STAM/TYK2/IL9R/IL5RA/SOS2/CSF3/PIAS1/IFNAR2/EP300/IL13RA1/IL13RA2/PIAS3/IL2RB/STAT4/IL15RA/SOCS3/IFNGR1/IL10RA/IFNB1/PIK3CD/IFNGR2/GHR/CSF2/STAT6/PIK3R3/AKT2"
"Chronic myeloid leukemia","Chronic myeloid leukemia","Chronic myeloid leukemia",73,0.571256403711335,1.49770312589636,5.52840359508435e-05,5.52840359508435e-05,0.000282239551959569,7684,"tags=75%, list=36%, signal=48%","TGFB1/RUNX1/TGFB3/SHC1/AKT3/TGFBR1/SHC3/PIK3R5/PIK3CA/NFKB1/CBL/STAT5A/MAPK1/SOS1/NFKBIA/IKBKG/CRK/PTPN11/STAT5B/ABL1/GRB2/PIK3R1/SHC4/MAP2K1/TGFBR2/BRAF/NRAS/CBLB/RELA/SMAD4/SOS2/RB1/TGFB2/CTBP1/BCR/CRKL/CHUK/PIK3CD/RAF1/PIK3R3/AKT2/SHC2/IKBKB/TP53/CTBP2/AKT1/CDK4/E2F3/ARAF/SMAD3/CDKN1B/MDM2/PIK3CB/GAB2/CDKN1A"
"Axon guidance","Axon guidance","Axon guidance",129,0.514419199098191,1.38582887548262,7.61445307943226e-05,7.61445307943226e-05,0.000370226540704225,4758,"tags=41%, list=22%, signal=32%","PLXNC1/NRP1/SEMA6B/ITGB1/GNAI2/UNC5B/ROBO1/PLXNA1/DPYSL2/FYN/NFATC4/PPP3CA/RGS3/RASA1/SLIT2/SRGAP2/LIMK1/PPP3CC/ARHGEF12/PAK2/FES/LIMK2/SLIT3/MAPK1/RHOA/EPHA3/SEMA4C/NFATC1/UNC5C/NCK1/ABL1/GSK3B/SEMA3C/SEMA4F/GNAI3/SEMA5B/NRAS/NFAT5/EFNB3/SRGAP1/NTN4/PPP3CB/CXCL12/PPP3R1/SEMA3G/ROCK2/NFATC3/CDC42/EFNA5/GNAI1/ABLIM2/CXCR4/ROCK1"
"Prostate cancer","Prostate cancer","Prostate cancer",89,0.53525457070634,1.41926111059548,0.000218791050020883,0.000218791050020883,0.00101544171540793,5820,"tags=53%, list=27%, signal=39%","PDGFRB/PDGFC/PDGFB/PDGFRA/FOXO1/CREB3L2/AKT3/CREB1/IGF1/PIK3R5/PIK3CA/PTEN/NFKB1/MAPK1/LEF1/SOS1/CREB5/NFKBIA/IKBKG/PDGFD/GRB2/GSK3B/PIK3R1/MAP2K1/CREBBP/BRAF/NRAS/RELA/FGFR1/TGFA/PDGFA/SOS2/CDK2/RB1/EP300/PDPK1/CHUK/PIK3CD/RAF1/PIK3R3/AKT2/AR/BCL2/IKBKB/TP53/ATF4/MTOR"
"Pancreatic cancer","Pancreatic cancer","Pancreatic cancer",70,0.555106487630027,1.45165179846801,0.000257468283464926,0.000257468283464926,0.00114299421034773,7659,"tags=69%, list=36%, signal=44%","VEGFC/TGFB1/TGFB3/MAPK9/AKT3/TGFBR1/PGF/PIK3R5/STAT3/SMAD2/JAK1/PIK3CA/NFKB1/ARHGEF6/MAPK1/VEGFB/IKBKG/PIK3R1/MAP2K1/TGFBR2/BRAF/MAPK8/STAT1/RALB/RELA/SMAD4/TGFA/RB1/TGFB2/CDC42/CHUK/PIK3CD/RAF1/PIK3R3/AKT2/RAC1/IKBKB/TP53/MAPK10/AKT1/CDK4/E2F3/RALBP1/ARAF/RAD51/SMAD3/PIK3CB/RALA"
"mTOR signaling pathway","mTOR signaling pathway","mTOR signaling pathway",52,0.589933543509561,1.5182448073754,0.000280252516753494,0.000280252516753494,0.00114461027895111,6613,"tags=63%, list=31%, signal=44%","VEGFC/HIF1A/AKT3/PGF/IGF1/PIK3R5/RPS6KA2/PIK3CA/CAB39/MAPK1/ULK2/VEGFB/RPS6KB1/PIK3R1/ULK1/BRAF/DDIT4/PRKAA1/RPS6KA3/RICTOR/PDPK1/PIK3CD/TSC2/PIK3R3/AKT2/MTOR/AKT1/EIF4B/EIF4E/RHEB/RPTOR/TSC1/EIF4E2"
"Leishmania infection","Leishmania infection","Leishmania infection",69,0.553308246647345,1.44630628895207,0.000280252516753494,0.000280252516753494,0.00114461027895111,7030,"tags=62%, list=33%, signal=42%","FCGR2A/TGFB1/FCGR3A/TLR2/TGFB3/ITGB1/TLR4/NCF2/FCGR1A/ITGA4/C3/ELK1/ITGAM/JAK1/MAP3K7/ITGB2/MAPK11/NFKB1/MAPK1/NFKBIA/TAB2/MAPK14/FCGR3B/STAT1/RELA/TRAF6/IRAK4/PTGS2/TGFB2/IFNGR1/HLA-DRA/IFNGR2/MYD88/HLA-DMB/HLA-DQA1/CR1/IRAK1/IL1B/HLA-DPA1/TAB1/HLA-DPB1/HLA-DQA2/TNF"
"SNARE interactions in vesicular transport","SNARE interactions in vesicular transport","SNARE interactions in vesicular transport",38,0.612395509795264,1.53786489569006,0.000377076758298382,0.000377076758298382,0.00148082775526085,6691,"tags=68%, list=31%, signal=47%","VAMP5/STX2/SNAP23/STX11/STX8/VTI1B/SNAP47/VAMP4/STX7/STX12/GOSR1/STX17/SEC22B/STX5/VAMP7/VAMP3/YKT6/GOSR2/STX6/STX4/VTI1A/BNIP1/BET1/SNAP29/BET1L/STX18"
"Leukocyte transendothelial migration","Leukocyte transendothelial migration","Leukocyte transendothelial migration",115,0.509368724671635,1.36319584450359,0.000526638086934343,0.000526638086934343,0.00199157483168153,5711,"tags=45%, list=27%, signal=33%","MMP2/THY1/ITGB1/MSN/PECAM1/NCF2/GNAI2/CDH5/VCAM1/CYBB/ICAM1/ITGA4/PIK3R5/ITGAM/PXN/PIK3CA/ITGB2/MAPK11/SIPA1/ESAM/MYL12A/RHOA/CD99/RAP1B/PTPN11/PIK3R1/BCAR1/MAPK14/GNAI3/ACTN1/CXCL12/MMP9/ARHGAP5/ACTB/VCL/JAM3/ARHGAP35/ROCK2/CLDN14/VAV2/PLCG1/CDC42/GNAI1/PIK3CD/CXCR4/ROCK1/PIK3R3/RAPGEF3/PTK2/CTNNA1/RAC1/CLDN11"
"Wnt signaling pathway","Wnt signaling pathway","Wnt signaling pathway",150,0.480767715613884,1.30481649927955,0.000599907739098823,0.000599907739098823,0.00217669120395891,5886,"tags=45%, list=28%, signal=33%","SFRP4/WNT2/FZD1/SFRP2/WNT5A/PRICKLE1/MAPK9/FZD4/PPP2R5B/NFATC4/PPP3CA/SMAD2/FBXW11/PORCN/PPP3CC/MAP3K7/DKK2/CSNK1A1/FZD8/LEF1/RHOA/WNT2B/PPP2R5E/NFATC1/PPP2R5C/BTRC/CUL1/APC/GSK3B/CSNK2A2/CREBBP/SKP1/MAPK8/FZD6/NFAT5/SMAD4/PPP3CB/CHD8/PPP3R1/PLCB2/PRKACA/VANGL1/FZD2/PPP2CA/CSNK1A1L/CSNK1E/PSEN1/EP300/DVL3/ROCK2/NFATC3/TBL1XR1/SOX17/CTBP1/WNT7B/WNT10A/PPP2CB/ROCK1/WNT9B/FZD7/LRP6/RBX1/DAAM1/RAC1/TBL1X/TP53/MAPK10/CTBP2"
"Apoptosis","Apoptosis","Apoptosis",87,0.526955572584093,1.39443058047285,0.000618225182155339,0.000618225182155339,0.00217669120395891,7030,"tags=63%, list=33%, signal=43%","IL1R1/AKT3/PPP3CA/PIK3R5/PPP3CC/IL3RA/PIK3CA/PRKAR1A/NFKB1/FAS/IL1RAP/TNFRSF1A/BIRC2/NFKBIA/IKBKG/CAPN2/ENDOD1/RIPK1/EXOG/PIK3R1/ATM/CFLAR/NGF/RELA/PPP3CB/PPP3R1/IRAK4/PRKACA/NTRK1/TNFRSF10C/CHUK/PIK3CD/TNFRSF10D/PIK3R3/AKT2/TNFRSF10B/MYD88/CAPN1/APAF1/BCL2/IKBKB/TP53/IRAK3/IRAK1/CSF2RB/TRAF2/AKT1/XIAP/IL1B/IRAK2/TNFSF10/PRKACB/BID/PRKX/TNF"
"Epithelial cell signaling in Helicobacter pylori infection","Epithelial cell signaling in Helicobacter pylori infection","Epithelial cell signaling in Helicobacter pylori infection",68,0.542712850904751,1.41922865759913,0.000801400046680862,0.000801400046680862,0.00272757208870328,6730,"tags=59%, list=32%, signal=40%","ADAM17/MAPK9/ATP6V0E1/NOD1/ATP6V1B2/ATP6V1E1/MAPK11/NFKB1/ADAM10/CXCL8/NFKBIA/IKBKG/PTPN11/TJP1/MAPK14/MAPK8/RELA/ATP6V1A/ATP6V1D/CXCR1/ATP6V1C1/JAM3/CXCL1/PLCG1/MAP2K4/CDC42/CHUK/ATP6V1H/ATP6AP1/GIT1/TCIRG1/ATP6V1G1/RAC1/IKBKB/MAPK10/ATP6V0A2/ATP6V0D1/LYN/ATP6V0A1/HBEGF"
