"","ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"ECM-receptor interaction","ECM-receptor interaction","ECM-receptor interaction",83,0.637179858678494,1.66661464840748,2.82857098223135e-06,2.82857098223135e-06,3.03157846899437e-05,4529,"tags=54%, list=21%, signal=43%","TNXB/ITGA7/LAMA4/ITGA1/ITGA9/COL6A2/LAMA2/SV2C/SDC3/SDC2/LAMB2/THBS3/COL6A1/CD36/TNC/HSPG2/COL4A2/LAMC1/ITGB3/COL4A6/ITGA5/THBS1/COL6A3/COL3A1/ITGB1/VWF/FN1/THBS4/SV2A/COL5A1/COL1A2/ITGA8/COL6A6/COL1A1/TNN/ITGAV/COL4A1/COL5A2/SV2B/THBS2/LAMB1/COL4A4/TNR/LAMA5/ITGB5"
"Base excision repair","Base excision repair","Base excision repair",33,-0.6224379140036,-2.36305791468052,4.73672808976175e-06,4.73672808976175e-06,4.65362759695891e-05,4624,"tags=73%, list=22%, signal=57%","PARP2/MUTYH/POLD4/TDG/MBD4/PARP4/HMGB1/PARP1/APEX1/NTHL1/POLD3/SMUG1/POLD1/POLE/POLB/POLE3/UNG/APEX2/LIG1/POLD2/PCNA/NEIL3/POLE2/FEN1"
"Aminoacyl-tRNA biosynthesis","Aminoacyl-tRNA biosynthesis","Aminoacyl-tRNA biosynthesis",24,-0.662125760297712,-2.40105526908337,2.52903872208335e-05,2.52903872208335e-05,0.000222622769196295,4727,"tags=75%, list=22%, signal=58%","HARS2/AARS2/VARS2/WARS2/NARS2/SARS2/FARSB/LARS2/EARS2/PARS2/QARS1/EPRS1/YARS2/IARS2/MARS2/TARS2/FARSA/DARS2"
"Mismatch repair","Mismatch repair","Mismatch repair",23,-0.658021543695669,-2.36793376479497,2.643645384206e-05,2.643645384206e-05,0.000222622769196295,2527,"tags=57%, list=12%, signal=50%","MSH2/POLD3/POLD1/RFC5/SSBP1/RFC3/RFC2/LIG1/RPA3/POLD2/PCNA/RFC4/EXO1"
"Homologous recombination","Homologous recombination","Homologous recombination",26,-0.63717230397184,-2.32947330512704,3.08425294824033e-05,3.08425294824033e-05,0.000242411459791521,2849,"tags=50%, list=13%, signal=43%","XRCC3/POLD3/POLD1/BRCA2/SSBP1/BLM/RPA3/POLD2/XRCC2/RAD54B/EME1/RAD54L/RAD51"
"Regulation of actin cytoskeleton","Regulation of actin cytoskeleton","Regulation of actin cytoskeleton",212,0.523104380237866,1.39990149867932,3.39564252191442e-05,3.39564252191442e-05,0.000250205238456852,5299,"tags=41%, list=25%, signal=31%","CHRM2/FGF2/GSN/ITGA7/CFL2/MYL9/PIP5K1C/MYLK/ITGA1/ITGA9/PPP1R12A/ACTN1/FGFR1/VCL/BDKRB1/FGF10/FGF1/WASF1/MRAS/FGF7/PDGFD/ENAH/ACTN2/FGF14/MYH10/RRAS/ABI2/RDX/PDGFC/FGD1/PIK3R1/MSN/PPP1CB/ARHGEF6/PDGFRA/ITGB3/ITGA5/FGF5/WASF2/FGF13/ITGB1/FGF16/ACTB/GNG12/SSH1/PIP4K2A/FN1/PDGFRB/ITGA8/GNA12/APC/ITGAV/ROCK1/DIAPH2/PIP4K2B/DOCK1/SOS2/ARHGEF4/BRK1/ARHGAP35/SOS1/PIK3CA/CHRM3/BRAF/CHRM4/PIK3R3/PFN2/TIAM1/MYLK3/PIK3CD/RAF1/CYFIP2/F2R/GNA13/ITGB5/MAPK1/PAK3/NCKAP1/ARHGEF7/ARHGEF12/MYH9/NCKAP1L/BDKRB2/FGF12/CD14/PAK5/BAIAP2"
"Melanogenesis","Melanogenesis","Melanogenesis",101,0.583492424082691,1.53700787980044,4.60185547187616e-05,4.60185547187616e-05,0.000319137964613083,4531,"tags=37%, list=21%, signal=29%","GNAO1/CAMK2A/ADCY5/TCF7L1/PRKCB/MITF/FZD4/WNT9A/ADCY9/CAMK2G/DCT/CALM1/PRKACB/ADCY2/GNAI1/KIT/PRKACA/ADCY4/WNT2B/FZD1/CREB3L2/GNAI2/FZD7/PLCB1/CREBBP/PRKCA/GNAQ/WNT9B/EDNRB/FZD3/FZD8/RAF1/DVL2/CREB1/ADCY1/WNT4/MAPK1"
"Pathways in cancer","Pathways in cancer","Pathways in cancer",323,0.490950536419511,1.32778347954437,7.61445307943226e-05,7.61445307943226e-05,0.00048948105723589,4611,"tags=34%, list=22%, signal=27%","MAPK10/RUNX1T1/AKT3/AR/GLI3/FGF2/CTNNA3/LAMA4/RXRG/FGFR1/TCF7L1/ABL1/FGF10/PRKCB/LAMA2/MITF/FGF1/ZBTB16/FZD4/WNT9A/FGF7/LAMB2/STAT5B/DAPK3/BCL2/VEGFB/TGFB3/GLI2/FGF14/IGF1/VEGFC/GLI1/JUN/KIT/COL4A2/PIK3R1/LAMC1/PDGFRA/SMO/COL4A6/RARB/PTCH2/FGF5/SUFU/TGFBR2/WNT2B/FGF13/FZD1/ITGB1/FOS/FGF16/FZD7/IL6/HGF/FN1/NTRK1/PDGFRB/EPAS1/TGFBR1/SMAD4/PTEN/APC/TGFB2/ITGAV/CREBBP/PRKCA/CCNA1/WNT9B/NFKBIA/FOXO1/TGFB1/SOS2/ARNT/COL4A1/MMP2/CSF1R/SOS1/PTCH1/PIK3CA/MLH1/FLT3/BRAF/HHIP/FZD3/RXRA/PIK3R3/PIAS1/JAK1/VEGFD/FZD8/SMAD2/PIK3CD/RAF1/NCOA4/AKT2/DVL2/STAT3/LAMB1/CDKN1B/PTGS2/COL4A4/ETS1/WNT4/LAMA5/CBL/MAPK1/STAT5A/CDKN1A/FLT3LG/EGLN1/CASP9"
"Maturity onset diabetes of the young","Maturity onset diabetes of the young","Maturity onset diabetes of the young",25,-0.626583338190352,-2.28936610735125,7.88851168134627e-05,7.88851168134627e-05,0.00048948105723589,3424,"tags=40%, list=16%, signal=34%","PAX6/FOXA2/HNF1B/HES1/HNF4G/FOXA3/PDX1/HNF1A/HNF4A/MNX1"
"Cell adhesion molecules (CAMs)","Cell adhesion molecules (CAMs)","Cell adhesion molecules (CAMs)",130,0.552091489907563,1.4678437864521,0.000102396543152401,0.000102396543152401,0.000603600675424681,3003,"tags=26%, list=14%, signal=23%","JAM2/CADM3/JAM3/NEGR1/NLGN2/NFASC/NCAM1/NRXN1/NLGN3/ITGA9/NRXN2/CNTN2/NCAM2/NRXN3/CD34/SDC3/CNTNAP1/NLGN1/SDC2/PTPRM/CLDN5/SELP/PECAM1/CNTN1/NLGN4X/CD99/ITGB1/CDH5/ITGA8/CLDN11/SELE/ITGAV/VCAM1/VCAN"
"Gap junction","Gap junction","Gap junction",87,0.590601944067366,1.54774290297795,0.000156402041282277,0.000156402041282277,0.000878046547549626,3572,"tags=34%, list=17%, signal=29%","TUBA1A/PRKG1/TUBB6/ADCY5/HTR2A/LPAR1/ITPR1/PRKCB/ADCY9/PDGFD/PRKACB/ADCY2/GNAI1/GJA1/PDGFC/PRKACA/PDGFRA/ADCY4/GNAI2/GUCY1A2/PLCB1/PDGFRB/TUBB4A/TJP1/PRKCA/GNAQ/MAP2K5/SOS2/SOS1/MAPK7"
"Axon guidance","Axon guidance","Axon guidance",129,0.540211371207273,1.4364634476976,0.000244530627019598,0.000244530627019598,0.00131040336010502,5360,"tags=46%, list=25%, signal=34%","SLIT2/SLIT3/NFATC4/CXCL12/CFL2/NTN1/EPHA6/EPHA7/ABL1/EPHA3/SEMA3G/PPP3CB/SEMA3C/SEMA4C/GNAI1/SEMA6C/EPHA4/EPHA5/ROBO1/LRRC4C/NRP1/FYN/ITGB1/NTNG1/GNAI2/PLXNB3/SEMA3D/SEMA6D/EFNB3/DPYSL2/SEMA6B/ROCK1/UNC5C/NTN3/SEMA3A/NFATC1/PPP3CC/SEMA6A/ABLIM3/NTN4/EFNA5/FES/SEMA5B/SEMA5A/SEMA3E/DPYSL5/MAPK1/PAK3/NCK2/L1CAM/CXCR4/ARHGEF12/PLXNC1/RASA1/NFATC2/NFAT5/NFATC3/PAK5/ROBO3"
"Hedgehog signaling pathway","Hedgehog signaling pathway","Hedgehog signaling pathway",56,0.622341462606815,1.59054594156678,0.000313226087248792,0.000313226087248792,0.0016055524838382,4408,"tags=39%, list=21%, signal=31%","GLI3/GAS1/WNT9A/RAB23/PRKACB/GLI2/DHH/GLI1/PRKACA/SMO/PTCH2/SUFU/WNT2B/WNT9B/PTCH1/CSNK1A1/BMP6/HHIP/FBXW11/CSNK1A1L/BTRC/WNT4"
"Wnt signaling pathway","Wnt signaling pathway","Wnt signaling pathway",150,0.522117853336519,1.39179435045441,0.000545500435024764,0.000545500435024764,0.00267965125977077,4408,"tags=32%, list=21%, signal=26%","SFRP1/MAPK10/PRICKLE2/NFATC4/CAMK2A/SOX17/TCF7L1/PRICKLE1/PRKCB/FZD4/WNT9A/DAAM2/CAMK2G/PRKACB/PPP3CB/DAAM1/JUN/PRKACA/SFRP2/WNT2B/FZD1/PPP2R5B/FZD7/TBL1X/PLCB1/SKP1/SMAD4/APC/CREBBP/PRKCA/ROCK1/SFRP4/WNT9B/NFATC1/PPP3CC/PPP2R5E/PPP2R5C/CSNK1A1/FZD3/CCND2/FZD8/SMAD2/FBXW11/CSNK1A1L/CXXC4/DVL2/BTRC/WNT4"
"Long-term potentiation","Long-term potentiation","Long-term potentiation",70,0.586972155860054,1.51904136988904,0.000576462803642031,0.000576462803642031,0.00271847722138558,5110,"tags=49%, list=24%, signal=37%","CAMK2A/PPP1R1A/RAP1A/CACNA1C/PPP1R12A/ITPR1/PRKCB/CAMK2G/CALM1/PRKACB/PPP3CB/GRIN2A/PRKACA/PPP1CB/GRIA2/GRIA1/RPS6KA2/PLCB1/RPS6KA6/CREBBP/PRKCA/GNAQ/PPP3CC/CAMK4/BRAF/RAPGEF3/RAF1/ATF4/ADCY1/MAPK1/CAMK2D/RPS6KA3/CALM2/GRIN2C"
"Prion diseases","Prion diseases","Prion diseases",35,0.663560192479118,1.63329183702291,0.000889220919543215,0.000889220919543215,0.00403209485784778,2163,"tags=29%, list=10%, signal=26%","C7/PRNP/NCAM1/NCAM2/PRKACB/EGR1/LAMC1/PRKACA/FYN/IL6"
"Long-term depression","Long-term depression","Long-term depression",68,0.591095384298767,1.52693832532666,0.00103197114198131,0.00103197114198131,0.0045060728226864,4671,"tags=40%, list=22%, signal=31%","GNAO1/PRKG1/ITPR1/PLA2G2C/PRKCB/NOS1/GNAZ/IGF1/GNAI1/GRIA2/GRIA1/GRID2/GNAI2/GUCY1A2/PLCB1/PLA2G5/GNA12/PRKCA/GNAQ/PLA2G12A/GRIA3/BRAF/RAF1/GNA13/MAPK1/CACNA1A/PRKG2"
"Complement and coagulation cascades","Complement and coagulation cascades","Complement and coagulation cascades",69,0.587679862116901,1.52057809103448,0.00108665537150258,0.00108665537150258,0.00457539103790562,2692,"tags=28%, list=13%, signal=24%","C7/F8/BDKRB1/CFD/C1R/SERPING1/C1S/A2M/THBD/C4B/CFH/C4A/C3/VWF/F13A1/MASP1/PROS1/PLAT/MASP2"
"Steroid biosynthesis","Steroid biosynthesis","Steroid biosynthesis",17,-0.645861167738539,-2.15032926816434,0.0011545099670901,0.0011545099670901,0.00469347064660946,4303,"tags=59%, list=20%, signal=47%","TM7SF2/FDFT1/CYP27B1/MSMO1/DHCR24/HSD17B7/SQLE/NSDHL/DHCR7/EBP"
"Basal cell carcinoma","Basal cell carcinoma","Basal cell carcinoma",55,0.5960735146489,1.52080995876148,0.00126530893923925,0.00126530893923925,0.00497244214718584,4408,"tags=36%, list=21%, signal=29%","GLI3/TCF7L1/FZD4/WNT9A/GLI2/GLI1/SMO/PTCH2/SUFU/WNT2B/FZD1/FZD7/APC/WNT9B/PTCH1/HHIP/FZD3/FZD8/DVL2/WNT4"
"Phosphatidylinositol signaling system","Phosphatidylinositol signaling system","Phosphatidylinositol signaling system",76,0.563678271721761,1.46697424494469,0.00188347951030486,0.00188347951030486,0.00716297810370608,4282,"tags=43%, list=20%, signal=35%","PLCD4/PIP5K1C/ITPKB/INPP5A/ITPR1/PRKCB/CALM1/DGKG/CDS2/PIK3R1/INPP5B/DGKB/DGKI/INPP4A/PIP4K2A/PLCB1/PTEN/PRKCA/OCRL/DGKE/PLCD1/SYNJ1/PIP4K2B/PIK3C3/INPP4B/PLCE1/DGKH/PIK3CA/PIK3R3/PIK3CD/CDIPT/PI4KA/INPP5K"
"Insulin signaling pathway","Insulin signaling pathway","Insulin signaling pathway",136,0.512030005455401,1.36322852886531,0.00209250156457265,0.00209250156457265,0.00770921629053081,5094,"tags=37%, list=24%, signal=28%","MAPK10/AKT3/ACACB/SORBS1/PYGM/PRKAR2B/SLC2A4/RHOQ/PRKAA2/PDE3A/CALM1/PRKACB/SOCS3/SOCS2/PIK3R1/PRKACA/PPP1CB/PRKAG2/PPP1R3C/SHC4/SHC2/PHKG1/PRKAB2/LIPE/HK1/EXOC7/PRKAR1A/TSC2/IRS1/FOXO1/RAPGEF1/SOS2/SOS1/PIK3CA/BRAF/SHC3/PIK3R3/PIK3CD/RAF1/AKT2/INPP5K/MKNK1/RPTOR/CBL/MAPK1/IRS2/SHC1/PHKB/CALM2/INSR"
"TGF-beta signaling pathway","TGF-beta signaling pathway","TGF-beta signaling pathway",85,0.549584634356136,1.43818238144702,0.002594708376624,0.002594708376624,0.00926977155285128,4575,"tags=41%, list=21%, signal=32%","DCN/BMPR1A/LTBP1/ID4/THBS3/GDF6/TGFB3/SMAD9/THBS1/TGFBR2/GDF5/BMPR2/THBS4/ZFYVE9/SKP1/BMPR1B/TGFBR1/SMAD4/GDF7/TGFB2/CREBBP/ROCK1/NOG/ACVRL1/RBL2/ACVR2A/TGFB1/SMAD5/BMP6/THBS2/SMAD2/ZFYVE16/CHRD/MAPK1/ID3"
"Folate biosynthesis","Folate biosynthesis","Folate biosynthesis",10,-0.727067962546022,-2.03505339381971,0.00289872436571524,0.00289872436571524,0.0100100523341099,3923,"tags=70%, list=18%, signal=57%","ALPP/PTS/GCH1/GGH/FPGS/DHFR/SPR"
"RNA degradation","RNA degradation","RNA degradation",55,-0.365488914736432,-1.50195322470331,0.00297173428668888,0.00297173428668888,0.0100100523341099,2373,"tags=35%, list=11%, signal=31%","LSM6/CNOT10/EXOSC8/EXOSC2/LSM2/EXOSC9/MPHOSPH6/HSPA9/PNPT1/EXOSC7/EXOSC5/LSM7/PATL1/LSM5/CNOT9/HSPD1/ENO1/EXOSC4/LSM4"
"Melanoma","Melanoma","Melanoma",71,0.562800823606313,1.45940093753899,0.00352094406427112,0.00352094406427112,0.0115305770525838,4558,"tags=38%, list=21%, signal=30%","AKT3/FGF2/FGFR1/FGF10/MITF/FGF1/FGF7/PDGFD/FGF14/IGF1/PDGFC/PIK3R1/PDGFRA/FGF5/FGF13/FGF16/HGF/PDGFRB/PTEN/PIK3CA/BRAF/PIK3R3/PIK3CD/RAF1/AKT2/MAPK1/CDKN1A"
"N-Glycan biosynthesis","N-Glycan biosynthesis","N-Glycan biosynthesis",46,-0.386075170782313,-1.58173423459675,0.00369003318745187,0.00369003318745187,0.0117577159884668,4388,"tags=50%, list=21%, signal=40%","ALG2/B4GALT1/ALG14/STT3B/FUT8/ALG10/MAN1B1/ALG5/DPM1/STT3A/DDOST/ALG1/ALG6/ALG8/RPN1/DPAGT1/MOGS/RPN2/B4GALT3/DOLPP1/MGAT4B/DPM2/ALG3"
"Neurotrophin signaling pathway","Neurotrophin signaling pathway","Neurotrophin signaling pathway",126,0.512208681274655,1.35997740979473,0.00428868132747507,0.00428868132747507,0.0133056041184822,5594,"tags=46%, list=26%, signal=34%","MAPK10/AKT3/CAMK2A/NTRK3/RAP1A/MAP3K3/ABL1/RPS6KA5/GAB1/CAMK2G/NGF/CALM1/BCL2/NGFR/JUN/BEX3/PIK3R1/RPS6KA2/KIDINS220/SHC4/SHC2/NTRK1/RPS6KA6/NFKBIA/IRS1/MAP2K5/RAPGEF1/SOS2/CAMK4/MAPK11/SOS1/MAPK7/MAPK14/PIK3CA/PTPN11/BRAF/SHC3/PIK3R3/PIK3CD/RAF1/AKT2/MAP2K7/ATF4/MAGED1/MAPK1/SH2B3/IRS2/SHC1/CAMK2D/RPS6KA3/CALM2/NTF3/TRAF6/ZNF274/FOXO3/AKT1/PIK3R5/SH2B1"
"Adipocytokine signaling pathway","Adipocytokine signaling pathway","Adipocytokine signaling pathway",66,0.568266028589386,1.46167372547199,0.00485454770515972,0.00485454770515972,0.0146628395781467,4436,"tags=38%, list=21%, signal=30%","MAPK10/AKT3/ACACB/LEPR/RXRG/SLC2A4/PRKAA2/ADIPOQ/CD36/SOCS3/PRKAG2/NPY/PRKAB2/LEP/CPT1C/NFKBIA/IRS1/PTPN11/RXRA/TNFRSF1A/AKT2/STAT3/CAMKK2/ACSL1/CAMKK1"
"GnRH signaling pathway","GnRH signaling pathway","GnRH signaling pathway",101,0.521314396083919,1.37322148765523,0.00497489199972833,0.00497489199972833,0.0146628395781467,5225,"tags=37%, list=24%, signal=28%","MAPK10/CAMK2A/ADCY5/CACNA1C/MAP3K3/ITPR1/PLA2G2C/PRKCB/ADCY9/CAMK2G/CALM1/PRKACB/ADCY2/JUN/PRKACA/ADCY4/PLCB1/PLA2G5/PRKCA/GNAQ/PLA2G12A/SOS2/MAPK11/MMP2/SOS1/MAPK7/MAPK14/RAF1/MAP2K7/ATF4/ADCY1/MAPK1/CGA/GNRH2/CAMK2D/CALM2/MAP3K2"
"Leukocyte transendothelial migration","Leukocyte transendothelial migration","Leukocyte transendothelial migration",115,0.5121265070246,1.35553580510785,0.00601013898364345,0.00601013898364345,0.0172820427771005,4167,"tags=31%, list=20%, signal=25%","JAM2/JAM3/CXCL12/CTNNA3/MYL9/RAP1A/ACTN1/VCL/PRKCB/CLDN5/ACTN2/GNAI1/PIK3R1/MSN/PECAM1/CD99/ITGB1/GNAI2/ACTB/THY1/CDH5/CLDN11/PRKCA/ROCK1/VCAM1/MAPK11/MMP2/ARHGAP35/MAPK14/PIK3CA/PTPN11/RAPGEF3/PIK3R3/ESAM/PIK3CD/ARHGAP5"
"Nucleotide excision repair","Nucleotide excision repair","Nucleotide excision repair",44,-0.360488445228718,-1.5088606380344,0.00825096380206611,0.00825096380206611,0.0231606001461505,2365,"tags=32%, list=11%, signal=28%","POLD3/CDK7/POLD1/RFC5/POLE/POLE3/RFC3/RFC2/LIG1/RPA3/POLD2/PCNA/POLE2/RFC4"
"Glyoxylate and dicarboxylate metabolism","Glyoxylate and dicarboxylate metabolism","Glyoxylate and dicarboxylate metabolism",15,-0.592194510678298,-1.86303057306657,0.00964185028893168,0.00964185028893168,0.0263831897399444,2426,"tags=53%, list=11%, signal=47%","MTHFD2L/AFMID/MTHFD1/MTHFD1L/PGP/MDH2/GLYCTK/MTHFD2"
